SN,true_label,prediction,modality,kfold_of_pred,kfold_for_val,type,simulated
ZTF18aahhzqn_0,0,0.0,lightcurve,0,0,SN Ibc,False
ZTF18aahuujv_0,0,0.0,lightcurve,0,0,SN Ic,False
ZTF18aakuewf_0,0,1.0,lightcurve,0,0,SN Ibn,False
ZTF18absliyc_0,0,0.0,lightcurve,0,0,SN Ic,False
ZTF18abwkrbl_0,0,0.0,lightcurve,0,0,SN Ibn,False
ZTF18abwkrbl_1,0,0.0,lightcurve,0,0,SN Ibn,False
ZTF19aamsetj_0,1,1.0,lightcurve,0,0,SN Ic,False
ZTF19aanijpu_0,0,1.0,lightcurve,0,0,SN Ic,False
ZTF19aapceyj_0,0,1.0,lightcurve,0,0,SN Ic,False
ZTF19aapfmki_0,0,1.0,lightcurve,0,0,SN Ibn,False
ZTF19aatheus_0,0,1.0,lightcurve,0,0,SN Ic,False
ZTF19aavoweu_0,0,0.0,lightcurve,0,0,SN Ic,False
ZTF19aayejww_0,0,0.0,lightcurve,0,0,SN Icn,False
ZTF19aayejww_1,0,1.0,lightcurve,0,0,SN Icn,False
ZTF19abafmwj_0,0,0.0,lightcurve,0,0,SN Ic,False
ZTF19abcyqqg_0,0,0.0,lightcurve,0,0,SN Ib,False
ZTF19abqmsnk_0,0,0.0,lightcurve,0,0,SN IIb,False
ZTF19abvdgqo_0,0,0.0,lightcurve,0,0,SN Ib,False
ZTF19aceshib_0,0,0.0,lightcurve,0,0,SN IIb,False
ZTF19ackjjwf_0,0,0.0,lightcurve,0,0,SN Ib,False
ZTF20rscs02x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20rscs05x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20rscs07x_0,1,0.0,lightcurve,0,0,SN IIb,True
ZTF20rscs12x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20rscs15x_0,1,0.0,lightcurve,0,0,SN IIb,True
ZTF20rscs18x_0,1,0.0,lightcurve,0,0,SN IIb,True
ZTF20rscs21x_0,1,1.0,lightcurve,0,0,SN IIb,True
ZTF20rscs22x_0,1,1.0,lightcurve,0,0,SN IIb,True
