SN,true_label,prediction,modality,kfold_of_pred
ZTF22aaxtias_1,0,0.0,lightcurve,0
ZTF22aaxtias_1,0,1.0,spectral,0
ZTF22aaxtias_1,0,0.0,lightcurveandspectral,0
ZTF22aazqoey_0,0,0.0,lightcurve,0
ZTF22aazqoey_0,0,0.0,spectral,0
ZTF22aazqoey_0,0,0.0,lightcurveandspectral,0
ZTF22abllclb_0,0,0.0,lightcurve,0
ZTF22abllclb_0,0,1.0,spectral,0
ZTF22abllclb_0,0,0.0,lightcurveandspectral,0
ZTF22abxlfpl_0,0,0.0,lightcurve,0
ZTF22abxlfpl_0,0,1.0,spectral,0
ZTF22abxlfpl_0,0,0.0,lightcurveandspectral,0
ZTF22abztcly_0,0,1.0,lightcurve,0
ZTF22abztcly_0,0,1.0,spectral,0
ZTF22abztcly_0,0,1.0,lightcurveandspectral,0
ZTF23aaaprhz_0,0,0.0,lightcurve,0
ZTF23aaaprhz_0,0,1.0,spectral,0
ZTF23aaaprhz_0,0,0.0,lightcurveandspectral,0
ZTF23aaazffe_0,0,0.0,lightcurve,0
ZTF23aaazffe_0,0,0.0,spectral,0
ZTF23aaazffe_0,0,0.0,lightcurveandspectral,0
ZTF23aaialcw_0,1,1.0,lightcurve,0
ZTF23aaialcw_0,1,0.0,spectral,0
ZTF23aaialcw_0,1,0.0,lightcurveandspectral,0
ZTF23aajakys_0,0,0.0,lightcurve,0
ZTF23aajakys_0,0,0.0,spectral,0
ZTF23aajakys_0,0,0.0,lightcurveandspectral,0
ZTF23aajpxbm_0,0,0.0,lightcurve,0
ZTF23aajpxbm_0,0,1.0,spectral,0
ZTF23aajpxbm_0,0,0.0,lightcurveandspectral,0
ZTF23aapuknd_0,0,0.0,lightcurve,0
ZTF23aapuknd_0,0,0.0,spectral,0
ZTF23aapuknd_0,0,0.0,lightcurveandspectral,0
ZTF23aazjwtl_0,1,0.0,lightcurve,0
ZTF23aazjwtl_0,1,0.0,spectral,0
ZTF23aazjwtl_0,1,0.0,lightcurveandspectral,0
ZTF23aazuzip_0,0,0.0,lightcurve,0
ZTF23aazuzip_0,0,0.0,spectral,0
ZTF23aazuzip_0,0,0.0,lightcurveandspectral,0
ZTF23abbpswf_0,0,0.0,lightcurve,0
ZTF23abbpswf_0,0,1.0,spectral,0
ZTF23abbpswf_0,0,0.0,lightcurveandspectral,0
ZTF23abhyxpr_0,0,0.0,lightcurve,0
ZTF23abhyxpr_0,0,1.0,spectral,0
ZTF23abhyxpr_0,0,0.0,lightcurveandspectral,0
ZTF23abjrolk_0,0,0.0,lightcurve,0
ZTF23abjrolk_0,0,1.0,spectral,0
ZTF23abjrolk_0,0,0.0,lightcurveandspectral,0
ZTF24aaymkrs_0,0,0.0,lightcurve,0
ZTF24aaymkrs_0,0,1.0,spectral,0
ZTF24aaymkrs_0,0,0.0,lightcurveandspectral,0
ZTF24abpdzvm_0,1,0.0,lightcurve,0
ZTF24abpdzvm_0,1,1.0,spectral,0
ZTF24abpdzvm_0,1,0.0,lightcurveandspectral,0
ZTF24abqqven_0,0,0.0,lightcurve,0
ZTF24abqqven_0,0,1.0,spectral,0
ZTF24abqqven_0,0,0.0,lightcurveandspectral,0
ZTF24absznoi_0,0,0.0,lightcurve,0
ZTF24absznoi_0,0,0.0,spectral,0
ZTF24absznoi_0,0,0.0,lightcurveandspectral,0
ZTF24abtnkbi_0,0,0.0,lightcurve,0
ZTF24abtnkbi_0,0,1.0,spectral,0
ZTF24abtnkbi_0,0,1.0,lightcurveandspectral,0
ZTF24abzgggz_0,0,0.0,lightcurve,0
ZTF24abzgggz_0,0,1.0,spectral,0
ZTF24abzgggz_0,0,0.0,lightcurveandspectral,0
ZTF24abzmhtv_0,0,1.0,lightcurve,0
ZTF24abzmhtv_0,0,1.0,spectral,0
ZTF24abzmhtv_0,0,1.0,lightcurveandspectral,0
ZTF25aadnogd_0,1,1.0,lightcurve,0
ZTF25aadnogd_0,1,0.0,spectral,0
ZTF25aadnogd_0,1,0.0,lightcurveandspectral,0
ZTF18aahhzqn_0,1,1.0,lightcurve,1
ZTF18aahhzqn_0,1,0.0,spectral,1
ZTF18aahhzqn_0,1,1.0,lightcurveandspectral,1
ZTF18aahuujv_0,0,1.0,lightcurve,1
ZTF18aahuujv_0,0,0.0,spectral,1
ZTF18aahuujv_0,0,1.0,lightcurveandspectral,1
ZTF18aakuewf_0,0,1.0,lightcurve,1
ZTF18aakuewf_0,0,1.0,spectral,1
ZTF18aakuewf_0,0,1.0,lightcurveandspectral,1
ZTF18abojpnr_0,0,1.0,lightcurve,1
ZTF18abojpnr_0,0,0.0,spectral,1
ZTF18abojpnr_0,0,0.0,lightcurveandspectral,1
ZTF18abojpnr_1,0,1.0,lightcurve,1
ZTF18abojpnr_1,0,0.0,spectral,1
ZTF18abojpnr_1,0,0.0,lightcurveandspectral,1
ZTF18absliyc_0,0,0.0,lightcurve,1
ZTF18absliyc_0,0,1.0,spectral,1
ZTF18absliyc_0,0,0.0,lightcurveandspectral,1
ZTF18abwkrbl_0,0,0.0,lightcurve,1
ZTF18abwkrbl_0,0,1.0,spectral,1
ZTF18abwkrbl_0,0,1.0,lightcurveandspectral,1
ZTF18abwkrbl_1,0,0.0,lightcurve,1
ZTF18abwkrbl_1,0,0.0,spectral,1
ZTF18abwkrbl_1,0,0.0,lightcurveandspectral,1
ZTF18acisruf_0,0,0.0,lightcurve,1
ZTF18acisruf_0,0,1.0,spectral,1
ZTF18acisruf_0,0,0.0,lightcurveandspectral,1
ZTF18acnmifq_0,0,0.0,lightcurve,1
ZTF18acnmifq_0,0,1.0,spectral,1
ZTF18acnmifq_0,0,1.0,lightcurveandspectral,1
ZTF18acqphpd_0,0,0.0,lightcurve,1
ZTF18acqphpd_0,0,0.0,spectral,1
ZTF18acqphpd_0,0,0.0,lightcurveandspectral,1
ZTF18acrcyqw_0,0,0.0,lightcurve,1
ZTF18acrcyqw_0,0,1.0,spectral,1
ZTF18acrcyqw_0,0,0.0,lightcurveandspectral,1
ZTF18aczqzrj_0,0,0.0,lightcurve,1
ZTF18aczqzrj_0,0,0.0,spectral,1
ZTF18aczqzrj_0,0,0.0,lightcurveandspectral,1
ZTF19aadwtoe_0,0,0.0,lightcurve,1
ZTF19aadwtoe_0,0,0.0,spectral,1
ZTF19aadwtoe_0,0,0.0,lightcurveandspectral,1
ZTF19aadwtoe_1,0,0.0,lightcurve,1
ZTF19aadwtoe_1,0,0.0,spectral,1
ZTF19aadwtoe_1,0,0.0,lightcurveandspectral,1
ZTF19aalouag_0,0,1.0,lightcurve,1
ZTF19aalouag_0,0,1.0,spectral,1
ZTF19aalouag_0,0,1.0,lightcurveandspectral,1
ZTF19aamsetj_0,1,0.0,lightcurve,1
ZTF19aamsetj_0,1,0.0,spectral,1
ZTF19aamsetj_0,1,0.0,lightcurveandspectral,1
ZTF19aanijpu_0,1,1.0,lightcurve,1
ZTF19aanijpu_0,1,1.0,spectral,1
ZTF19aanijpu_0,1,1.0,lightcurveandspectral,1
ZTF19aapceyj_0,0,1.0,lightcurve,1
ZTF19aapceyj_0,0,1.0,spectral,1
ZTF19aapceyj_0,0,1.0,lightcurveandspectral,1
ZTF19aapfmki_0,0,1.0,lightcurve,1
ZTF19aapfmki_0,0,1.0,spectral,1
ZTF19aapfmki_0,0,1.0,lightcurveandspectral,1
ZTF19aarfyvc_0,0,0.0,lightcurve,1
ZTF19aarfyvc_0,0,1.0,spectral,1
ZTF19aarfyvc_0,0,1.0,lightcurveandspectral,1
ZTF19aarnqys_0,0,0.0,lightcurve,1
ZTF19aarnqys_0,0,1.0,spectral,1
ZTF19aarnqys_0,0,0.0,lightcurveandspectral,1
ZTF19aatheus_0,0,1.0,lightcurve,1
ZTF19aatheus_0,0,0.0,spectral,1
ZTF19aatheus_0,0,1.0,lightcurveandspectral,1
ZTF19aavoweu_0,0,1.0,lightcurve,1
ZTF19aavoweu_0,0,0.0,spectral,1
ZTF19aavoweu_0,0,1.0,lightcurveandspectral,1
ZTF20aahggbm_2,0,0.0,lightcurve,2
ZTF20aahggbm_2,0,0.0,spectral,2
ZTF20aahggbm_2,0,0.0,lightcurveandspectral,2
ZTF20aaiftgi_0,0,1.0,lightcurve,2
ZTF20aaiftgi_0,0,1.0,spectral,2
ZTF20aaiftgi_0,0,1.0,lightcurveandspectral,2
ZTF20aakodyh_0,0,0.0,lightcurve,2
ZTF20aakodyh_0,0,0.0,spectral,2
ZTF20aakodyh_0,0,0.0,lightcurveandspectral,2
ZTF20aalcyih_0,0,0.0,lightcurve,2
ZTF20aalcyih_0,0,1.0,spectral,2
ZTF20aalcyih_0,0,0.0,lightcurveandspectral,2
ZTF20aalrqbu_0,1,1.0,lightcurve,2
ZTF20aalrqbu_0,1,0.0,spectral,2
ZTF20aalrqbu_0,1,0.0,lightcurveandspectral,2
ZTF20aalrqbu_1,1,1.0,lightcurve,2
ZTF20aalrqbu_1,1,1.0,spectral,2
ZTF20aalrqbu_1,1,1.0,lightcurveandspectral,2
