SN,true_label,prediction,modality,kfold_of_pred
ZTF20acgiglu_0,1,1.0,lightcurve,0
ZTF20acgiglu_0,1,0.0,spectral,0
ZTF20acgiglu_0,1,0.0,lightcurveandspectral,0
ZTF20urcs04x_0,1,1.0,lightcurve,0
ZTF20urcs04x_0,1,1.0,spectral,0
ZTF20urcs04x_0,1,1.0,lightcurveandspectral,0
ZTF20urcs09x_0,1,1.0,lightcurve,0
ZTF20urcs09x_0,1,1.0,spectral,0
ZTF20urcs09x_0,1,1.0,lightcurveandspectral,0
ZTF20urcs15x_0,1,0.0,lightcurve,0
ZTF20urcs15x_0,1,1.0,spectral,0
ZTF20urcs15x_0,1,1.0,lightcurveandspectral,0
ZTF21aaaosoq_0,0,1.0,lightcurve,0
ZTF21aaaosoq_0,0,0.0,spectral,0
ZTF21aaaosoq_0,0,0.0,lightcurveandspectral,0
ZTF21aaaosoq_1,0,1.0,lightcurve,0
ZTF21aaaosoq_1,0,0.0,spectral,0
ZTF21aaaosoq_1,0,0.0,lightcurveandspectral,0
ZTF21aahdqrg_0,0,1.0,lightcurve,0
ZTF21aahdqrg_0,0,0.0,spectral,0
ZTF21aahdqrg_0,0,0.0,lightcurveandspectral,0
ZTF21aaqhhfu_0,1,1.0,lightcurve,0
ZTF21aaqhhfu_0,1,1.0,spectral,0
ZTF21aaqhhfu_0,1,1.0,lightcurveandspectral,0
ZTF21aarnjyd_0,0,1.0,lightcurve,0
ZTF21aarnjyd_0,0,0.0,spectral,0
ZTF21aarnjyd_0,0,0.0,lightcurveandspectral,0
ZTF21aaxxmvs_0,0,1.0,lightcurve,0
ZTF21aaxxmvs_0,0,0.0,spectral,0
ZTF21aaxxmvs_0,0,0.0,lightcurveandspectral,0
ZTF21aayqrgx_0,0,1.0,lightcurve,0
ZTF21aayqrgx_0,0,0.0,spectral,0
ZTF21aayqrgx_0,0,0.0,lightcurveandspectral,0
ZTF21abqvzjy_0,0,1.0,lightcurve,0
ZTF21abqvzjy_0,0,0.0,spectral,0
ZTF21abqvzjy_0,0,0.0,lightcurveandspectral,0
ZTF21abrfvax_0,0,0.0,lightcurve,0
ZTF21abrfvax_0,0,0.0,spectral,0
ZTF21abrfvax_0,0,0.0,lightcurveandspectral,0
ZTF21gnos02x_0,1,1.0,lightcurve,0
ZTF21gnos02x_0,1,1.0,spectral,0
ZTF21gnos02x_0,1,1.0,lightcurveandspectral,0
ZTF21gnos07x_0,1,1.0,lightcurve,0
ZTF21gnos07x_0,1,1.0,spectral,0
ZTF21gnos07x_0,1,1.0,lightcurveandspectral,0
ZTF21gnos13x_0,1,1.0,lightcurve,0
ZTF21gnos13x_0,1,1.0,spectral,0
ZTF21gnos13x_0,1,1.0,lightcurveandspectral,0
ZTF21gnos14x_0,1,1.0,lightcurve,0
ZTF21gnos14x_0,1,1.0,spectral,0
ZTF21gnos14x_0,1,1.0,lightcurveandspectral,0
ZTF21gnos20x_0,1,1.0,lightcurve,0
ZTF21gnos20x_0,1,1.0,spectral,0
ZTF21gnos20x_0,1,1.0,lightcurveandspectral,0
ZTF21gnos24x_0,1,1.0,lightcurve,0
ZTF21gnos24x_0,1,1.0,spectral,0
ZTF21gnos24x_0,1,1.0,lightcurveandspectral,0
ZTF21gnos27x_0,1,1.0,lightcurve,0
ZTF21gnos27x_0,1,1.0,spectral,0
ZTF21gnos27x_0,1,1.0,lightcurveandspectral,0
ZTF21pbs08xx_0,1,1.0,lightcurve,0
ZTF21pbs08xx_0,1,1.0,spectral,0
ZTF21pbs08xx_0,1,1.0,lightcurveandspectral,0
ZTF21pbs22xx_0,1,1.0,lightcurve,0
ZTF21pbs22xx_0,1,1.0,spectral,0
ZTF21pbs22xx_0,1,1.0,lightcurveandspectral,0
ZTF22aafrjnw_0,1,1.0,lightcurve,0
ZTF22aafrjnw_0,1,1.0,spectral,0
ZTF22aafrjnw_0,1,1.0,lightcurveandspectral,0
ZTF22aafrjnw_1,1,1.0,lightcurve,0
ZTF22aafrjnw_1,1,1.0,spectral,0
ZTF22aafrjnw_1,1,1.0,lightcurveandspectral,0
ZTF22aalfmec_0,0,1.0,lightcurve,0
ZTF22aalfmec_0,0,0.0,spectral,0
ZTF22aalfmec_0,0,0.0,lightcurveandspectral,0
ZTF22aaoolua_0,0,0.0,lightcurve,0
ZTF22aaoolua_0,0,0.0,spectral,0
ZTF22aaoolua_0,0,0.0,lightcurveandspectral,0
ZTF22aasxgjp_0,0,0.0,lightcurve,0
ZTF22aasxgjp_0,0,0.0,spectral,0
ZTF22aasxgjp_0,0,0.0,lightcurveandspectral,0
ZTF22aasxgjp_1,0,0.0,lightcurve,0
ZTF22aasxgjp_1,0,0.0,spectral,0
ZTF22aasxgjp_1,0,0.0,lightcurveandspectral,0
ZTF22aasxgjp_2,0,0.0,lightcurve,0
ZTF22aasxgjp_2,0,0.0,spectral,0
ZTF22aasxgjp_2,0,0.0,lightcurveandspectral,0
ZTF22aasxgjp_3,0,0.0,lightcurve,0
ZTF22aasxgjp_3,0,0.0,spectral,0
ZTF22aasxgjp_3,0,0.0,lightcurveandspectral,0
ZTF22aasxgjp_4,0,0.0,lightcurve,0
ZTF22aasxgjp_4,0,0.0,spectral,0
ZTF22aasxgjp_4,0,0.0,lightcurveandspectral,0
ZTF22aasxgjp_5,0,0.0,lightcurve,0
ZTF22aasxgjp_5,0,0.0,spectral,0
ZTF22aasxgjp_5,0,0.0,lightcurveandspectral,0
ZTF22aatunnt_0,0,0.0,lightcurve,0
ZTF22aatunnt_0,0,0.0,spectral,0
ZTF22aatunnt_0,0,0.0,lightcurveandspectral,0
ZTF22hnts12x_0,1,1.0,lightcurve,0
ZTF22hnts12x_0,1,1.0,spectral,0
ZTF22hnts12x_0,1,1.0,lightcurveandspectral,0
ZTF22qzrs05x_0,1,0.0,lightcurve,0
ZTF22qzrs05x_0,1,1.0,spectral,0
ZTF22qzrs05x_0,1,1.0,lightcurveandspectral,0
ZTF22qzrs25x_0,1,1.0,lightcurve,0
ZTF22qzrs25x_0,1,1.0,spectral,0
