SN,true_label,prediction,modality,kfold_of_pred
0,ZTF20aahggbm_2,0,0,lightcurve,0
1,ZTF20aahggbm_2,0,0,spectral,0
2,ZTF20aahggbm_2,0,0,lightcurveandspectral,0
3,ZTF20aaiftgi_0,0,0,lightcurve,0
4,ZTF20aaiftgi_0,0,0,spectral,0
5,ZTF20aaiftgi_0,0,1,lightcurveandspectral,0
6,ZTF20aakodyh_0,0,0,lightcurve,0
7,ZTF20aakodyh_0,0,0,spectral,0
8,ZTF20aakodyh_0,0,0,lightcurveandspectral,0
9,ZTF20aalcyih_0,0,0,lightcurve,0
10,ZTF20aalcyih_0,0,1,spectral,0
11,ZTF20aalcyih_0,0,1,lightcurveandspectral,0
12,ZTF20aalrqbu_0,1,1,lightcurve,0
13,ZTF20aalrqbu_0,1,1,spectral,0
14,ZTF20aalrqbu_0,1,1,lightcurveandspectral,0
15,ZTF20aaurfnl_0,0,0,lightcurve,0
16,ZTF20aaurfnl_0,0,1,spectral,0
17,ZTF20aaurfnl_0,0,1,lightcurveandspectral,0
18,ZTF20aauwhfa_0,0,0,lightcurve,0
19,ZTF20aauwhfa_0,0,0,spectral,0
20,ZTF20aauwhfa_0,0,1,lightcurveandspectral,0
21,ZTF20aavzffg_0,0,1,lightcurve,0
22,ZTF20aavzffg_0,0,1,spectral,0
23,ZTF20aavzffg_0,0,1,lightcurveandspectral,0
24,ZTF20abbhrrt_0,0,1,lightcurve,0
25,ZTF20abbhrrt_0,0,0,spectral,0
26,ZTF20abbhrrt_0,0,0,lightcurveandspectral,0
27,ZTF20abeezca_0,0,0,lightcurve,0
28,ZTF20abeezca_0,0,0,spectral,0
29,ZTF20abeezca_0,0,0,lightcurveandspectral,0
30,ZTF20abkiarz_0,0,0,lightcurve,0
31,ZTF20abkiarz_0,0,0,spectral,0
32,ZTF20abkiarz_0,0,0,lightcurveandspectral,0
33,ZTF20abtkjfw_0,0,0,lightcurve,0
34,ZTF20abtkjfw_0,0,1,spectral,0
35,ZTF20abtkjfw_0,0,0,lightcurveandspectral,0
36,ZTF20abxpoxd_0,1,0,lightcurve,0
37,ZTF20abxpoxd_0,1,0,spectral,0
38,ZTF20abxpoxd_0,1,0,lightcurveandspectral,0
39,ZTF20acfqngt_0,0,0,lightcurve,0
40,ZTF20acfqngt_0,0,1,spectral,0
41,ZTF20acfqngt_0,0,0,lightcurveandspectral,0
42,ZTF20actpqgc_0,0,0,lightcurve,0
43,ZTF20actpqgc_0,0,0,spectral,0
44,ZTF20actpqgc_0,0,0,lightcurveandspectral,0
